Time,Open,High,Low,Close,Vol,Percent,Id,Timestamp,Vol20,Vol21
1558758000,32357.52,32500,32345.67,32345.67,0.16452015,0.0,118,2019-05-25 04:20:00,0.16452015,0.33764247149999294
1558758300,32345.67,32549.99789,32345.67,32549.99777,0.14751538,0.63,119,2019-05-25 04:25:00,0.14751538,0.32360666499999297
1558758600,32549.99,32549.99,32345.68003,32345.68003,0.00248076,-0.63,120,2019-05-25 04:30:00,0.00248076,0.28577301499999297
1558758900,32350,32549.97976,32345.67,32345.67,0.07647219,-0.0,121,2019-05-25 04:35:00,0.07647219,0.2615506704999929
1558759200,32350,32350,32322.97865,32322.97865,0.22311,-0.07,122,2019-05-25 04:40:00,0.22311,0.23604764349999297
1558759500,32322.97865,32322.97865,32322.97865,32322.97865,0.00401,0.0,123,2019-05-25 04:45:00,0.00401,0.18161480649999295
1558759800,32322.97865,32322.97865,32322.97865,32322.97865,0.1354,0.0,124,2019-05-25 04:50:00,0.1354,0.18827713799999296
1558760100,32322.97865,32545.99954,32322.97,32545.99932,0.52070364,0.69,125,2019-05-25 04:55:00,0.52070364,0.20546637099999296
1558760400,32545.99666,32545.99666,32545.99666,32545.99666,0.00100704,-0.0,126,2019-05-25 05:00:00,0.00100704,0.19659454399999296
1558760700,32322.97001,32545.98832,32320,32545.98832,0.54948575,-0.0,127,2019-05-25 05:05:00,0.54948575,0.20595075299999296
1558761000,32545.01455,32545.98,32545.01455,32545.98,0.64,-0.0,128,2019-05-25 05:10:00,0.64,0.23332518099999294
1558761600,32543.35,32543.35,32543.35,32543.35,0.00302341,-0.01,129,2019-05-25 05:20:00,0.00302341,0.23254768399999298
1558762200,32543.34,32543.34,32543.34,32543.34,0.00918774,-0.0,130,2019-05-25 05:30:00,0.00918774,0.19964731199999294
1558763100,32320.61659,32320.61659,32320.61659,32320.61659,0.0081,-0.68,131,2019-05-25 05:45:00,0.0081,0.19756659699999293
1558763400,32543.33999,32543.33999,32320.61659,32320.61659,0.03513406,0.0,132,2019-05-25 05:50:00,0.03513406,0.1861277999999929
1558763700,32543.21999,32543.21999,32536.53,32536.53,0.00148138,0.67,133,2019-05-25 05:55:00,0.00148138,0.17769165299999293
1558764300,32542.41959,32542.55,32542.40992,32542.55,0.04268086,0.02,134,2019-05-25 06:05:00,0.04268086,0.1660898774999929
1558764600,32542.55,32542.55,32542.55,32542.55,0.02014098,0.0,135,2019-05-25 06:10:00,0.02014098,0.1630053644999929
1558765200,32543.33,32594.96,32542.54,32594.96,0.62839879,0.16,136,2019-05-25 06:20:00,0.62839879,0.19287397749999288
1558765500,32450.00003,32450.00003,32450.00003,32450.00003,0.00106,-0.44,137,2019-05-25 06:25:00,0.00106,0.16069560649999287
1558765800,32450.00003,32450.00003,32321.92264,32321.92264,0.11715445,-0.39,138,2019-05-25 06:30:00,0.11715445,0.1583273214999929
1558766700,32321.00001,32321.00001,32321.00001,32321.00001,0.00499,-0.0,139,2019-05-25 06:45:00,0.00499,0.15120105249999288
1558767000,32321,32447.91973,32321,32447.91973,0.00476093,0.39,140,2019-05-25 06:50:00,0.00476093,0.15131506099999287
1558767900,32447.91973,32447.91973,32447.91973,32447.91973,0.00154093,0.0,141,2019-05-25 07:05:00,0.00154093,0.1475684979999929
1558768800,32321.00003,32321.00003,32321,32321,0.007,-0.39,142,2019-05-25 07:20:00,0.007,0.13676299799999286
1558769100,32447.91971,32447.91971,32447.91971,32447.91971,0.0016642,0.39,143,2019-05-25 07:25:00,0.0016642,0.13664570799999287
1558769400,32321.00003,32447.91973,32320,32447.91973,0.05421372,0.0,144,2019-05-25 07:30:00,0.05421372,0.13258639399999286
1558769700,32320.00104,32450,32320.00104,32448,0.06499215,0.0,145,2019-05-25 07:35:00,0.06499215,0.10980081949999287
1558770000,32450,32450,32320.00167,32320.00167,0.02751361,-0.39,146,2019-05-25 07:40:00,0.02751361,0.11112614799999287
1558770300,32322.00167,32322.00167,32322.00167,32322.00167,0.00442442,0.01,147,2019-05-25 07:45:00,0.00442442,0.08387308149999287
1558770600,32322.002,32322.00224,32322.002,32322.00224,0.02554,0.0,148,2019-05-25 07:50:00,0.02554,0.053150081499992854
1558773000,32449.99,32449.99993,32449.99,32449.99993,0.0031926,0.4,149,2019-05-25 08:30:00,0.0031926,0.05315854099999286
1558773600,32322.0134,32322.0134,32322.0134,32322.0134,0.05,-0.39,150,2019-05-25 08:40:00,0.05,0.05519915399999285
1558774200,32449.99,32450,32449.99,32450,0.03348664,0.4,151,2019-05-25 08:50:00,0.03348664,0.05646848599999286
1558774500,32450,32500,32450,32450,0.04753077,0.0,152,2019-05-25 08:55:00,0.04753077,0.05708832149999286
1558774800,32500,32500,32320.00001,32499.99993,0.51983384,0.15,153,2019-05-25 09:00:00,0.51983384,0.08300594449999285
1558775400,32321.64174,32321.64174,32320,32320,0.03392,-0.55,154,2019-05-25 09:10:00,0.03392,0.08256790149999285
1558775700,32320.18016,32320.18016,32320.18016,32320.18016,0.00133,0.0,155,2019-05-25 09:15:00,0.00133,0.08162735249999285
1558776300,32499.99993,32500,32320.40052,32320.40052,0.02939923,0.0,156,2019-05-25 09:25:00,0.02939923,0.05167737449999286
1558776900,32500,32549.99795,32500,32549.99795,0.15361212,0.71,157,2019-05-25 09:35:00,0.15361212,0.05930498049999285
1558777200,32322.10368,32322.10368,32322.10368,32322.10368,0.00473,-0.7,158,2019-05-25 09:40:00,0.00473,0.05368375799999285
1558777500,32326.22023,32549.97999,32326.22023,32326.70073,0.00718205,0.01,159,2019-05-25 09:45:00,0.00718205,0.05379336049999285
1558777800,32544.99992,32544.99993,32544.99,32544.99,0.01517946,0.68,160,2019-05-25 09:50:00,0.01517946,0.05431428699999284
1558778100,32539.99993,32550,32539.99993,32550,0.40670714,0.02,161,2019-05-25 09:55:00,0.40670714,0.07457259749999284
